trade,price_enter,price_exit,gross_return,enter_period,exit_period
330,132.6,132.91,1.0023378582202112,43601,43621
331,133.17,132.69,0.9963955845911242,43830,43850
332,133.48,134.83,1.0101138747377887,43902,43922
333,134.88,134.66,0.9983689205219455,43972,43992
334,133.4,133.14,0.9980509745127435,44135,44155
335,133.09,132.84,0.9981215718686604,44388,44408
336,132.1,132.23,1.0009841029523088,44532,44552
337,131.87,132.0,1.000985819367559,44739,44759
338,132.3,131.9175,0.9971088435374148,44871,44878
339,129.36,129.74,1.0029375386518242,45322,45342
340,130.21,130.65,1.0033791567467936,45356,45376
341,131.6,131.97,1.0028115501519757,45387,45407
342,132.17,132.87,1.0052962094272528,45472,45492
343,132.87,134.01,1.0085798148566267,45492,45512
344,135.99,135.6201,0.9972799470549305,45563,45566
345,137.1,137.83769999999998,1.0053807439824944,45592,45594
346,136.73,136.13,0.995611789658451,45652,45672
347,135.73,135.84,1.0008104324762397,45907,45927
348,136.92,136.7,0.9983932223196027,45984,46004
349,137.1,137.31,1.001531728665208,46034,46054
350,137.01,137.2,1.0013867600905044,46188,46208
351,138.38,137.2437,0.9917885532591415,46312,46315
352,137.61,138.77,1.0084296199404112,46467,46487
353,140.11,141.31,1.0085646991649417,46553,46573
354,144.9,147.9951,1.021360248447205,46612,46617
355,141.5,140.4612,0.9926586572438162,46782,46792
356,142.44,142.16,0.9980342600393148,47185,47205
357,141.74,141.43,0.9978128968533935,47380,47400
358,141.87,142.35,1.0033833791499258,47405,47425
359,143.16,144.51,1.0094300083822296,47469,47489
360,144.49,145.43,1.0065056405287562,47616,47636
361,146.29,145.2528,0.9929099733406249,47688,47695
362,141.33,141.77,1.0031132809736079,47918,47938
363,140.71,140.7978,1.000623978395281,48046,48060
364,140.34,140.65,1.0022089211913923,48294,48314
365,141.86,141.97,1.0007754123784012,48411,48431
366,141.86,141.62,0.9983081911743972,48532,48552
367,140.94,140.2,0.9947495388108414,48801,48821
368,140.9,140.96,1.0004258339247694,48887,48907
369,141.91,141.47,0.9968994433091396,48997,49017
370,142.62,143.37,1.005258729490955,49057,49077
371,141.81,141.91,1.0007051688879487,49296,49316
372,142.76,142.12,0.9955169515270385,49398,49418
373,142.58,143.4,1.0057511572450553,49433,49453
374,144.17,143.33,0.9941735451203442,49499,49519
375,143.38,143.17,0.9985353605802761,49565,49585
376,143.37,142.3,0.9925367929134408,49612,49632
377,144.56,144.8172,1.0017791920309906,49698,49704
378,144.55,144.37,0.998754756139744,49912,49932
379,144.13,143.94,0.9986817456462915,50129,50149
380,144.05,142.84709999999998,0.9916494272821935,50245,50265
381,143.75,142.79,0.9933217391304348,50479,50499
382,142.8,142.93,1.0009103641456583,50573,50593
383,143.88,143.36,0.9963858771198222,50767,50787
384,143.7,143.6,0.9993041057759221,50835,50855
385,142.97,143.14,1.0011890606420926,51232,51252
386,143.21,144.04,1.0057956846588925,51358,51378
387,144.47,145.56,1.0075448189935627,51592,51612
388,146.99,147.8466,1.0058276073202257,51639,51658
389,150.76,150.48,0.9981427434332714,51752,51772
390,151.42,152.96,1.010170387003038,51897,51917
391,153.66,154.04,1.002472992320708,52012,52032
392,155.88,156.41,1.0034000513215293,52113,52133
393,157.73,159.83,1.0133138908260955,52288,52308
394,162.17,163.3302,1.0071542208793243,52313,52317
395,165.89,165.61,0.9983121345469891,52412,52432
396,166.25,164.736,0.9908932330827067,52542,52560
397,166.08,170.12,1.0243256262042388,52752,52772
398,172.16,174.92,1.016031598513011,52794,52814
399,176.18,174.4578,0.9902247701214666,52815,52821
400,170.46,169.6266,0.9951108764519535,52913,52929
401,168.5,169.46,1.0056973293768547,52943,52963
402,171.42,173.25,1.0106755337766888,53214,53234
403,173.04,173.61,1.0032940360610265,53373,53393
404,169.61,172.1,1.0146807381640233,53752,53772
405,170.3,169.02,0.9924838520258368,53906,53926
406,164.61,164.3895,0.9986604702022962,54010,54027
407,166.22,167.50799999999998,1.0077487666947418,54382,54402
408,170.26,171.3195,1.0062228356631036,54416,54421
409,173.48,172.7352,0.9957067097071709,54588,54596
410,169.18,169.93,1.004433148126256,54821,54841
411,169.37,169.12,0.9985239416661746,54952,54972
412,168.86,167.4981,0.9919347388369062,55042,55062
413,169.92,168.7554,0.9931461864406781,55194,55199
414,172.17,172.14,0.9998257536156124,55452,55472
415,173.39,172.9,0.9971740008074285,55639,55659
416,170.67,171.09,1.0024608894357534,55786,55806
417,171.03,171.3,1.0015786704087002,55834,55854
418,170.65,170.7,1.0002929973630237,56048,56068
419,172.28,172.81,1.0030763872765265,56146,56166
420,170.21,171.18,1.0056988426061924,56536,56556
421,170.34,170.09,0.9985323470705647,56633,56653
422,170.33,170.4,1.0004109669465155,56713,56733
423,169.86,168.91,0.994407158836689,56774,56794
424,169.64,170.07,1.002534779533129,56916,56936
425,169.38,168.93,0.9973432518597237,57209,57229
426,163.05,161.59769999999997,0.9910929162833484,57415,57417
427,157.36,158.63,1.0080706659888152,57596,57616
428,158.19,158.21,1.000126430242114,57836,57856
429,157.6,156.3804,0.992261421319797,57917,57931
430,157.28,157.26,0.9998728382502543,57997,58017
431,154.16,155.58,1.009211209133368,58073,58093
432,158.53,158.15,0.997602977354444,58313,58333
433,159.36,160.11,1.0047063253012047,58372,58392
434,158.6,158.34,0.9983606557377049,58552,58572
435,160.42,160.85,1.0026804637825708,58792,58812
436,158.12,158.53,1.002592967366557,59140,59160
437,158.5,158.55,1.0003154574132493,59220,59240
438,157.63,157.62,0.9999365602994355,59514,59534
439,157.06,156.18,0.9943970457150134,59689,59709
440,155.05,156.99,1.0125120928732667,59851,59871
441,157.5,158.27,1.004888888888889,59943,59963
442,158.88,157.9,0.9938318227593153,60007,60027
443,158.04,157.8,0.9984813971146547,60074,60094
444,156.8,156.96,1.0010204081632652,60447,60467
